day,collections
2013-01-20,1533
2013-01-27,1533
2013-02-03,1544
2013-02-10,1546
2013-02-17,1557
2013-02-24,1575
2013-03-03,1548
2013-03-10,1574
2013-03-17,1587
2013-03-24,1597
2013-03-31,1629
2013-04-07,1586
2013-04-14,1644
2013-04-21,1687
2013-04-28,1661
2013-05-05,1667
2013-05-12,1579
2013-05-19,1582
2013-05-26,1580
2013-06-02,1580
2013-06-09,1579
2013-06-16,1587
2013-06-23,1592
2013-06-30,1598
2013-07-07,1603
2013-07-14,1607
2013-07-21,1612
2013-07-28,1617
2013-08-04,1622
2013-08-11,1604
2013-08-18,1629
2013-08-25,1633
2013-09-01,1637
2013-09-08,1645
2013-09-15,1668
2013-09-22,1695
2013-09-29,1609
2013-10-06,1557
2013-10-13,1613
2013-10-20,1709
2013-10-27,1762
2013-11-03,1778
2013-11-10,1719
2013-11-17,1725
2013-11-24,1660
2013-12-01,1661
2013-12-08,1665
2013-12-15,1669
2013-12-22,1673
2013-12-29,1673
2014-01-05,1675
2014-01-12,1671
2014-01-19,1677
2014-01-26,1682
2014-02-02,1683
2014-02-09,1694
2014-02-16,1670
2014-02-23,1685
2014-03-02,1674
2014-03-09,1693
2014-03-16,1721
2014-03-23,1737
2014-03-30,1784
2014-04-06,1691
2014-04-13,1795
2014-04-20,1710
2014-04-27,1734
2014-05-04,1733
2014-05-11,1729
2014-05-18,1732
2014-05-25,1731
2014-06-01,1733
2014-06-08,1736
2014-06-15,1740
2014-06-22,1740
2014-06-29,1748
2014-07-06,1748
2014-07-13,1750
2014-07-20,1760
2014-07-27,1769
2014-08-03,1774
2014-08-17,1772
2014-08-24,1779
2014-08-31,1790
2014-09-07,1800
2014-09-14,1806
2014-09-21,1832
2014-09-28,1857
2014-10-05,1744
2014-10-12,1804
2014-10-19,1871
2014-10-26,1896
2014-11-02,1917
2014-11-09,1803
2014-11-16,1812
2014-11-23,1826
2014-11-30,1824
2014-12-07,1827
2014-12-14,1833
2014-12-21,1838
2014-12-28,1840
2015-01-04,1841
2015-01-11,1847
2015-01-18,1852
2015-01-25,1854
2015-02-01,1856
2015-02-08,1863
2015-02-15,1870
2015-02-22,1884
2015-03-01,1899
2015-03-08,1887
2015-03-15,1916
2015-03-22,1946
2015-03-29,1977
2015-04-05,1891
2015-04-12,1997
2015-04-19,2068
2015-04-26,2083
2015-05-03,2012
2015-05-10,2017
2015-05-17,2025
2015-05-24,1921
2015-05-31,1924
2015-06-07,1929
2015-06-14,1931
2015-06-21,1937
2015-06-28,1938
2015-07-05,1936
2015-07-12,1940
2015-07-19,1940
2015-07-26,1941
2015-08-02,1945
2015-08-09,1953
2015-08-16,1961
2015-08-23,1954
2015-08-30,1958
2015-09-01,1958
2015-09-02,1327
2015-09-03,1289
2015-09-04,1371
2015-09-05,1376
2015-09-06,1376
2015-09-07,1379
2015-09-08,1392
2015-09-09,1405
2015-09-10,1407
2015-09-11,1415
2015-09-12,1436
2015-09-13,1439
2015-09-14,1439
2015-09-15,1445
2015-09-16,1452
2015-09-17,1462
2015-09-18,1462
2015-09-19,1465
2015-09-20,1466
