455,44,2020-01-23 15:13:54.127388,50
1185,273,2020-01-23 15:13:55.167395,10
261,667,2020-01-23 15:13:56.271481,10
828,877,2020-01-23 15:13:57.111624,50
569,439,2020-01-23 15:13:58.039756,30
1606,744,2020-01-23 15:13:59.183951,30
1751,455,2020-01-23 15:14:00.008666,50
273,838,2020-01-23 15:14:01.000193,50
1470,18,2020-01-23 15:14:02.232366,10
1255,372,2020-01-23 15:14:02.936563,30
610,687,2020-01-23 15:14:03.944661,10
497,222,2020-01-23 15:14:05.032822,10
457,842,2020-01-23 15:14:05.816978,50
1628,32,2020-01-23 15:14:06.777349,50
1692,53,2020-01-23 15:14:07.657076,30
1833,312,2020-01-23 15:14:08.481343,30
810,245,2020-01-23 15:14:09.618019,10
1423,823,2020-01-23 15:14:10.537625,50
1827,111,2020-01-23 15:14:11.457804,30
576,674,2020-01-23 15:14:12.282068,50
1374,632,2020-01-23 15:14:13.186017,10
1120,395,2020-01-23 15:14:14.138315,10
764,346,2020-01-23 15:14:15.018330,50
592,647,2020-01-23 15:14:15.946535,10
1167,407,2020-01-23 15:14:16.666686,50
1059,369,2020-01-23 15:14:17.314726,30
150,15,2020-01-23 15:14:19.651075,10
1512,479,2020-01-23 15:14:20.683304,30
1766,237,2020-01-23 15:14:21.723465,10
372,99,2020-01-23 15:14:23.075631,10
489,955,2020-01-23 15:14:24.443743,10
1073,245,2020-01-23 15:14:25.291920,30
1346,525,2020-01-23 15:14:26.156104,30
1419,426,2020-01-23 15:14:26.916111,30
547,605,2020-01-23 15:14:27.836242,30
1838,302,2020-01-23 15:14:28.980425,10
1358,479,2020-01-23 15:14:29.724584,30
447,528,2020-01-23 15:14:30.540717,50
30,340,2020-01-23 15:14:31.628943,10
1012,254,2020-01-23 15:14:32.348927,50
1577,422,2020-01-23 15:14:33.197108,30
73,100,2020-01-23 15:14:34.213224,50
78,485,2020-01-23 15:14:35.349432,10
417,752,2020-01-23 15:14:36.558229,10
1622,757,2020-01-23 15:14:37.485737,50
1032,558,2020-01-23 15:14:38.582494,10
185,250,2020-01-23 15:14:39.454023,30
708,474,2020-01-23 15:14:40.366233,10
1600,467,2020-01-23 15:14:41.318282,30
1195,409,2020-01-23 15:14:42.174480,10
165,276,2020-01-23 15:14:43.126734,30
598,50,2020-01-23 15:14:43.862741,50
563,118,2020-01-23 15:14:44.486897,50
1106,566,2020-01-23 15:14:45.318963,50
926,533,2020-01-23 15:14:46.047002,50
1442,22,2020-01-23 15:14:47.183172,30
95,899,2020-01-23 15:14:48.479375,30
907,294,2020-01-23 15:14:49.175516,50
323,598,2020-01-23 15:14:50.047880,50
895,788,2020-01-23 15:14:51.031720,10
598,210,2020-01-23 15:14:51.911908,30
1426,605,2020-01-23 15:14:52.744147,50
1072,4,2020-01-23 15:14:53.803294,10
1613,626,2020-01-23 15:14:54.864385,30
475,159,2020-01-23 15:14:56.272497,10
1516,245,2020-01-23 15:14:57.136724,30
1641,274,2020-01-23 15:14:57.824835,50
1110,24,2020-01-23 15:14:58.625624,30
510,284,2020-01-23 15:14:59.433185,30
1325,211,2020-01-23 15:15:00.561747,10
1666,664,2020-01-23 15:15:01.433337,50
314,443,2020-01-23 15:15:02.369528,50
839,252,2020-01-23 15:15:03.497695,10
1045,828,2020-01-23 15:15:04.409772,30
1099,724,2020-01-23 15:15:05.121911,30
1077,202,2020-01-23 15:15:05.866221,50
334,629,2020-01-23 15:15:06.778177,50
1472,720,2020-01-23 15:15:07.746294,30
1147,683,2020-01-23 15:15:08.690570,10
1259,493,2020-01-23 15:15:09.410603,30
1144,333,2020-01-23 15:15:10.050604,30
816,411,2020-01-23 15:15:11.242918,10
1456,840,2020-01-23 15:15:12.138977,50
222,694,2020-01-23 15:15:13.171175,50
487,104,2020-01-23 15:15:13.931284,50
946,596,2020-01-23 15:15:14.595475,50
675,732,2020-01-23 15:15:15.499531,10
1856,240,2020-01-23 15:15:16.867747,10
1323,580,2020-01-23 15:15:17.979846,10
1773,382,2020-01-23 15:15:18.852117,30
