,AVG,MAX,MIN,MODALITY
0,0.3577479666375485,1.163514987607746,0.025945218817330584,walking
1,1.757734660572936,6.3837583799081,0.003754703779700108,walking
2,2.000178512207221,5.472457897571035,0.12328241332274814,walking
3,2.4868610247039356,7.634145487221236,0.09235121272532965,walking
4,1.2319595987051823,3.3807394912540563,0.07989444034797089,walking
5,1.096906188026815,3.778261540931081,0.01580864477353572,walking
6,2.9958162146509872,10.409708984141014,0.07017021320245753,walking
7,3.2445458570181307,16.136623905438626,0.09981496212776975,walking
8,2.6211261198959446,13.219745703805726,0.026751276102011445,walking
9,5.287194664349603,17.383329090365205,0.01809175864263235,walking
10,2.7169368051616143,7.714732349990246,0.4739020949884285,walking
11,4.3585134359861275,23.790014263028674,0.48111195976689736,walking
12,2.2339744267907324,7.265352901271599,0.0004237174015973011,walking
13,2.7390065120630323,12.314707035453988,0.07756723185591952,walking
14,1.7615699104569367,4.588466058188699,0.041567715799750715,walking
15,2.8061330086653804,11.268116964935572,0.2024836029807222,walking
16,3.3227853229491937,13.268277050595074,0.01906405976071568,walking
17,3.9636244786741535,20.991072346100918,0.0028067250365424457,walking
18,2.821381653908861,10.59908333561515,0.03583579904747225,walking
19,2.762037970747294,9.839910790824364,0.2739926415209144,walking
20,3.854409290632752,22.679745416853102,0.05961770999343585,walking
21,3.040073694208443,9.733578260832116,0.20890039847459008,walking
22,1.2097793374347063,3.230905789986908,0.13678027306002427,walking
23,1.508348085734216,4.862065093770637,0.108122154572726,walking
24,3.543239343174677,10.501348244019564,0.19306254180686722,walking
25,1.8987583158579036,7.01392002767957,0.07501593777265292,walking
26,2.703356138442396,9.312183460713667,0.10341008152280118,walking
27,1.2837398431971156,6.05918821932728,0.015198106824927393,walking
28,2.3251482904225993,8.567990826136365,0.1389364787285725,walking
29,2.103648997357404,5.586324923431767,0.11663722111310726,walking
30,2.414263185988455,5.972836026989482,0.0023420756989995795,walking
31,0.63645672003697,3.3960149818073653,0.003767108692603216,walking
32,1.1461824645970282,3.876907182224315,0.019787099266476815,walking
33,0.8980040667673724,2.5374300496700917,0.011893477836271593,walking
34,2.699957796305414,10.032765453451645,0.13092167435087276,walking
